Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Simplex,pi-star,openSPOT2,Crossbandsrptr,XIL,	145.500,	433.500,	145.375,	433.450,	145.225,	145.450,HS DMR,APRS 1,APRS 2,APRS US,APRS ISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM0,Botkyrka 2 U,Brottby 1 V,Brottby 2 U,Dalaro U,Hagsatra UL,Haninge 1 V,Haninge 2 U,Haninge 3 U,Haninge 4 U,Haninge 5 U,Hogdalen V,Ingaro 2 VSE,Johanneshov U,Kista 3 US,Kista 7 VS,Kopparmora UL,Nynashamn 1 V,Nynashamn 2 U,Sandhamn UL,Sigtuna U,Stockholm 1 VS,Stockholm 2 VS,Stockholm 3 U,Soder U,Sodertalje 4 U,Tyreso U+,Taby 2 U,Upplands_Vas 1 U,Upplands_Vas 2 U,Vallentuna 3 U,Vallentuna 4 U,Vastberga 1 VS,Vastberga 2 U,Almsta 1 V,Almsta 2 U,Vallentuna 6 V,Rimbo U,Vallentuna 5 U,Nynashamn 7 V,Vasterhaninge V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM1,Endre V,Slite U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM2,Arjeplog V,Boden 1 V,Boden 2 U,Burtrask US,Kalix 1 V,Kalix 3 U,Kalix 4 U,Kalix-Vattento U,Kiruna 1 V,Kiruna 2 U,Kiruna 3 U,Kiruna 4 ULS,Lulea 1 V,Lulea 2 U,Pitea 1 V,Pitea 2 U,Pitea 3 U,Seskaro V,Skelleftea 1 V,Skelleftea 2 V,Skelleftea 3 US,Storuman 1 V,Storuman 2 US,Umea V,Vannas 1 V,Vannas 2 USE,Vannas 3 U,Alvsbyn VS,Skelleftea 4 V,Lycksele V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM3,Bollnas 2 V,Borgsjo VS,Forsa 2 VS,Forsa 3 U,Forsa 4 V,Follinge U,Gavle 1 U,Gavle 2 US,Hoting V,Hudiksvall 1 V,Hudiksvall 2 U,Harnosand U,Kramfors U,Krokom UL,Nordingra 1 V,Nordingra 2 U,Nyland 1 V,Nyland 2 U,Sandviken 1 VS,Sandviken 3 US,Solleftea 1 V,Solleftea 2 U,Sundsvall 1 VSE,Sundsvall 3 U,Sundsvall 4 U,Soderhamn 2 V,Soderhamn 4 U,Arsunda U,Ornskoldsvi 2 VS,Ornskoldsvi 3 US,Osterfarneb 2 US,Ostersund 1 V,Ostersund 2 VS,Ostersund 3 U,Ostersund 4 UE,Ornskoldsvik 4 U,Raftsjohojden V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM4,Arvika 1 U,Arvika 2 U,Borlange 1 U,Borlange 2 U,Eksharad UHI,Falun 1 VS,Falun 2 U,Garphyttan V,Grums U,Grangesberg VL,Hagfors 2 VE,Karlskoga 1 V,Karlskoga 2 U,Karlstad VS,Kopparberg 1 V,Leksand 2 VI,Leksand 3 U,Lindesberg 1 V,Lindesberg 2 VLS,Ludvika 1 V,Ludvika 2 U,Malung VH,Mora 3 U,Nybble VLS,Nyhammar VL,Orsa 1 VE,Orsa 2 US,Orsa 3 VLS,Smedjebacken U,Sunne 1 V,Sunne 2 UHI,Salen VS,Torsby 1 VL,Torsby 2 U,Vansbro 1 V,Vansbro 3 U,Arjang V,Alvdalen 1 ULS,Orebro 1 V,Orebro 2 U,Vansbro 4 U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM5,Arboga 1 V,Arboga 2 U,Eskilstuna 2 VSE,Eskilstuna 3 US,Eskilstuna 4 U,Finspang 1 U,Finspang 3 U,Flen 1 V,Flen 2 V,Flen 3 US,Kisa V,Knivsta U,Linkoping 1 VS,Linkoping 2 V,Linkoping 3 VS,Linkoping 4 U,Linkoping 5 U,Linkoping 6 U,Linkoping 7 U,Motala V,Norrkoping 2 V,Norrkoping 3 US,Norrkoping 4 U,Norrkoping 5 U,Nykoping 2 U,Sala 1 VE,Stigtomta VLF,Uppsala 1 VS,Uppsala 2 V,Uppsala 3 UH,Uppsala 4 U,Uppsala 5 U,Uppsala 6 U,Uppsala 8 VLS,Uppsala 9 ULS,Vasteras 1 VS,Vasteras 3 US,Atvidaberg VSE,Jarlasa V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM6 Gbg,Angered U,Floda 1 ULI,Floda 2 U,Guldheden 1 U,Guldheden 2 VLE,Guldheden 3 U,Guldheden 4 US,Guldheden 5 VS,Guldheden 6 VLE,Guldheden 7 U,Hono 1 VLE,Kortedala 1 VLE,Kortedala 2 V,Kungsbacka 1 VLE,Kungsbacka 2 V,Kungsbacka 3 U,Kungalv 1 V,Kungalv 2 U,Kungalv 3 U,Langedrag VLE,Molndal 1 VEI,Molndal 2 UEI,Molnlycke VLE,Amal U,Ockero 1 VS,Ockero 2 U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM6 Ovriga,Alingsas 2 V,Alingsas 3 U,Alingsas 4 US,Alvangen U,Amal U,Angered U,Bengtsfors 1 V,Bengtsfors 2 U,Bokenas VS,Boras 1 VLE,Boras 2 V,Boras 3 U,Boras 4 U,Dingle U,Falkenberg VS,Halmstad 1 VS,Halmstad 2 U,Halmstad 3 U,Hjo VLS,Karlsborg V,Kinnekulle 1 V,Kinnekulle 2 U,Kungshamn VS,Lysekil US,Mariestad UE,Myggenas VLE,Orby 1 VLSE,Orby 2 ULA,Skara 1 V,Skara 2 U,Skara 3 U,Skarsjon VLE,Skene 1 VEI,Skene 2 UHI,Skene 3 UEI,Skovde 1 V,Skovde 2 U,Stenungsun 2 VSE,Tanumshede VS,Tidaholm V,Torup US,Trollhattan 1 V,Trollhattan 3,Uddevalla 1 VS,Ulricehamn 1 V,Ulricehamn 2 U,Varberg 1 V,Varberg 2 U,Vargarda U,Vedum VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM7 Skane,Blentarp 2 U,Eslov 2 U,Everod VLS,Gladsax 1 VI,Gladsax 2 U,Hallandsas 1 VS,Hallandsas 2 US,Helsingborg 2 U,Hoor U,Kristiansta 1 VS,Kristianstad 2 U,Lund 1 V,Lund 2 U,Lund 3 U,Lonsboda 2 U,Malmo 1 UI,Malmo 2 U,Sjobo U,Soderasen 1 VS,Soderasen 2 U,Tomelilla U,Vitaby V,Orkelljunga U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
